iter	RMSE
0	4478542.595
1	4454316.874
2	4429474.733
3	4406260.257
4	4384210.071
5	4359680.897
6	4334150.133
7	4311076.335
8	4288356.608
9	4265518.596
10	4242041.827
11	4219088.878
12	4197502.8
13	4177066.577
14	4156859.934
15	4135952.981
16	4114816.65
17	4094036.064
18	4073645.726
19	4052862.895
20	4033417.52
21	4015778.844
22	3996895.195
23	3977943.507
24	3959475.956
25	3939692.892
26	3920730.872
27	3901517.09
28	3883337.69
29	3865700.271
30	3848110.282
31	3831483.09
32	3813777.047
33	3796456.712
34	3781579.262
35	3764916.174
36	3749263.624
37	3733750.835
38	3717577.109
39	3705235.349
40	3689249.231
41	3674089.833
42	3659011.939
43	3644503.56
44	3631249.586
45	3616810.106
46	3601889.672
47	3588265.969
48	3573524.018
49	3559592.573
50	3546889.828
51	3534554.389
52	3521557.449
53	3508671.939
54	3494728.437
55	3481787.707
56	3469833.84
57	3457332.022
58	3444775.469
59	3433311.095
60	3421710.073
61	3409474.113
62	3397828.615
63	3386972.719
64	3376801.641
65	3365159.966
66	3354490.78
67	3343482.529
68	3332908.587
69	3323105.719
70	3313556.357
71	3302753.475
72	3293131.986
73	3283981.642
74	3274630.914
75	3264752.155
76	3255541.35
77	3246785.382
78	3237378.783
79	3228885.575
80	3220631.15
81	3212258.803
82	3203470.16
83	3194658.507
84	3185355.927
85	3177541.92
86	3168851.566
87	3159812.769
88	3151556.739
89	3143316.168
90	3135135.134
91	3127451.03
92	3120580.562
93	3112456.986
94	3105627.979
95	3097987.631
96	3090157.171
97	3083153.023
98	3076027.376
99	3068820.342
