iter	Passed	Remaining
0	60	29992
1	106	26525
2	161	26790
3	210	26112
4	263	26100
5	325	26782
6	412	29049
7	465	28617
8	517	28208
9	572	28065
10	620	27588
11	679	27614
12	735	27552
13	790	27450
14	843	27275
15	893	27022
16	952	27058
17	1006	26939
18	1055	26717
19	1099	26389
20	1150	26236
21	1200	26077
22	1250	25939
23	1298	25761
24	1348	25616
25	1393	25401
26	1440	25228
27	1493	25171
28	1554	25243
29	1609	25208
30	1655	25049
31	1706	24960
32	1758	24881
33	1809	24804
34	1859	24698
35	1911	24640
36	1955	24465
37	2009	24429
38	2052	24258
39	2103	24195
40	2155	24125
41	2207	24074
42	2267	24103
43	2321	24062
44	2367	23936
45	2415	23840
46	2461	23723
47	2501	23551
48	2544	23420
49	2597	23377
50	2631	23167
51	2674	23041
52	2718	22929
53	2771	22888
54	2800	22661
55	2852	22616
56	2907	22598
57	2960	22560
58	3002	22445
59	3048	22353
60	3094	22267
61	3140	22188
62	3197	22177
63	3243	22095
64	3291	22026
65	3341	21974
66	3389	21904
67	3437	21840
68	3492	21812
69	3544	21775
70	3600	21755
71	3652	21713
72	3702	21656
73	3749	21582
74	3797	21518
75	3844	21450
76	3897	21413
77	3947	21356
78	3995	21292
79	4042	21225
80	4090	21158
81	4132	21066
82	4181	21007
83	4230	20953
84	4280	20898
85	4320	20800
86	4375	20769
87	4419	20693
88	4463	20612
89	4506	20528
90	4554	20469
91	4611	20451
92	4649	20346
93	4706	20326
94	4761	20300
95	4818	20276
96	4873	20249
97	4915	20163
98	4969	20129
99	5015	20060
100	5065	20009
101	5088	19853
102	5128	19768
103	5173	19698
104	5223	19650
105	5258	19546
106	5318	19534
107	5366	19480
108	5417	19435
109	5463	19371
110	5520	19346
111	5576	19318
112	5619	19244
113	5674	19213
114	5718	19143
115	5775	19119
116	5821	19056
117	5872	19011
118	5914	18936
119	5960	18874
120	6014	18839
121	6069	18805
122	6115	18743
123	6164	18693
124	6217	18653
125	6273	18620
126	6330	18593
127	6386	18561
128	6445	18536
129	6490	18472
130	6538	18416
131	6583	18353
132	6630	18295
133	6679	18245
134	6727	18188
135	6777	18138
136	6828	18092
137	6881	18052
138	6940	18024
139	6989	17971
140	7028	17896
141	7074	17836
142	7120	17777
143	7172	17732
144	7220	17678
145	7259	17601
146	7313	17561
147	7357	17498
148	7415	17468
149	7465	17420
150	7516	17373
151	7570	17333
152	7621	17284
153	7666	17224
154	7714	17171
155	7760	17113
156	7813	17069
157	7856	17005
158	7899	16941
159	7938	16870
160	7998	16841
161	8043	16783
162	8095	16737
163	8150	16698
164	8196	16641
165	8240	16579
166	8290	16531
167	8340	16482
168	8386	16425
169	8422	16349
170	8457	16271
171	8506	16221
172	8557	16175
173	8608	16129
174	8661	16085
175	8709	16033
176	8757	15981
177	8814	15945
178	8855	15881
179	8910	15840
180	8965	15800
181	9006	15736
182	9060	15695
183	9107	15641
184	9163	15602
185	9215	15557
186	9261	15502
187	9311	15453
188	9353	15391
189	9413	15358
190	9446	15282
191	9499	15238
192	9534	15166
193	9581	15112
194	9637	15074
195	9689	15028
196	9743	14986
197	9801	14949
198	9855	14907
199	9910	14865
200	9963	14820
201	10017	14778
202	10066	14727
203	10112	14673
204	10164	14627
205	10208	14568
206	10257	14519
207	10313	14478
208	10365	14432
209	10422	14393
210	10480	14355
211	10538	14316
212	10589	14268
213	10639	14219
214	10695	14177
215	10742	14124
216	10799	14084
217	10859	14047
218	10912	14001
219	10970	13962
220	11020	13912
221	11069	13861
222	11114	13805
223	11163	13755
224	11213	13705
225	11261	13652
226	11307	13599
227	11353	13544
228	11404	13495
229	11457	13449
230	11501	13394
231	11548	13340
232	11597	13289
233	11641	13233
234	11695	13188
235	11748	13142
236	11803	13098
237	11848	13043
238	11890	12984
239	11946	12941
240	11991	12886
241	12043	12840
242	12091	12788
243	12146	12744
244	12197	12695
245	12251	12649
246	12306	12605
247	12361	12561
248	12415	12515
249	12471	12471
250	12515	12415
251	12571	12372
252	12620	12321
253	12672	12273
254	12729	12230
255	12779	12180
256	12835	12135
257	12885	12085
258	12937	12038
259	12980	11981
260	13040	11941
261	13095	11895
262	13144	11845
263	13194	11794
264	13242	11743
265	13291	11692
266	13343	11644
267	13380	11583
268	13428	11531
269	13481	11484
270	13533	11436
271	13583	11385
272	13635	11338
273	13691	11292
274	13741	11242
275	13789	11191
276	13830	11134
277	13889	11091
278	13932	11035
279	13991	10993
280	14041	10943
281	14088	10890
282	14131	10836
283	14184	10788
284	14238	10741
285	14296	10697
286	14351	10650
287	14410	10607
288	14465	10561
289	14517	10512
290	14567	10462
291	14613	10409
292	14658	10355
293	14709	10306
294	14764	10259
295	14813	10209
296	14865	10160
297	14905	10103
298	14959	10056
299	15001	10000
300	15059	9956
301	15115	9910
302	15167	9861
303	15214	9809
304	15265	9760
305	15314	9709
306	15369	9662
307	15425	9615
308	15470	9562
309	15511	9507
310	15561	9456
311	15610	9406
312	15654	9352
313	15705	9303
314	15753	9252
315	15798	9199
316	15852	9151
317	15894	9096
318	15950	9050
319	15997	8998
320	16051	8950
321	16103	8902
322	16148	8849
323	16211	8805
324	16256	8753
325	16302	8701
326	16352	8651
327	16399	8599
328	16445	8547
329	16502	8501
330	16550	8450
331	16607	8403
332	16664	8357
333	16720	8310
334	16774	8262
335	16828	8213
336	16887	8168
337	16940	8119
338	16998	8073
339	17050	8023
340	17097	7972
341	17149	7922
342	17196	7871
343	17255	7825
344	17301	7772
345	17352	7723
346	17409	7676
347	17464	7628
348	17517	7579
349	17578	7533
350	17622	7480
351	17660	7425
352	17714	7376
353	17755	7322
354	17809	7274
355	17865	7226
356	17913	7175
357	17962	7124
358	18011	7074
359	18063	7024
360	18119	6976
361	18170	6926
362	18226	6878
363	18270	6826
364	18327	6778
365	18378	6728
366	18429	6678
367	18485	6630
368	18540	6582
369	18599	6534
370	18656	6487
371	18712	6438
372	18766	6389
373	18817	6339
374	18875	6291
375	18930	6242
376	18981	6192
377	19035	6143
378	19087	6094
379	19142	6044
380	19197	5996
381	19257	5948
382	19300	5895
383	19350	5845
384	19403	5795
385	19454	5745
386	19501	5694
387	19544	5641
388	19601	5593
389	19650	5542
390	19708	5494
391	19754	5442
392	19809	5393
393	19865	5344
394	19922	5295
395	19975	5246
396	20021	5194
397	20064	5142
398	20113	5091
399	20176	5044
400	20232	4995
401	20273	4942
402	20329	4893
403	20379	4842
404	20433	4792
405	20484	4742
406	20533	4691
407	20584	4641
408	20644	4593
409	20695	4542
410	20752	4493
411	20806	4444
412	20850	4392
413	20903	4342
414	20943	4289
415	20998	4239
416	21053	4190
417	21107	4140
418	21161	4090
419	21213	4040
420	21272	3991
421	21325	3941
422	21377	3891
423	21422	3839
424	21468	3788
425	21518	3737
426	21575	3688
427	21629	3638
428	21678	3587
429	21741	3539
430	21786	3487
431	21835	3437
